mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
126746,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,112666
143236,,,,0.0,0.0,0.0,,,,8878
155829,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,150705
132263,,,,0.0,0.0,0.0,,,,10580
4070,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,104071
96479,,,,0.0,0.0,0.0,,,,110211
31450,2.0,4.0,5.0,0.0,0.3333333333333333,0.0,2.0,3.0,5.0,153204
11146,,,,0.0,0.0,0.0,,,,16307
54923,,,,0.0,0.0,0.0,,,,113479
121195,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,75509
34503,,,,0.0,0.0,0.0,,,,68776
12301,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,5579
35353,,,,0.0,0.0,0.0,,,,143995
16786,,,,0.0,0.0,0.0,,,,159168
148027,,,,0.0,0.0,0.0,,,,34716
114201,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,150714
63232,,,,0.0,0.0,0.0,,,,14287
104646,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,23537
28044,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,69307
131960,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,195549
116269,,,,0.0,0.0,0.0,,,,126194
152205,,,,0.0,0.0,0.0,,,,33197
50243,,,,0.0,0.0,0.0,,,,112744
61084,,,,0.0,0.0,0.0,,,,165606
135699,,,,0.0,0.0,0.0,,,,58676
139533,,,,0.0,0.0,0.0,,,,138125
77167,,,,0.0,0.0,0.0,,,,20728
70715,1.0,2.0,4.0,0.0,-0.3333333333333333,0.0,1.0,3.0,4.0,152584
159407,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,199635
19692,,,,0.0,0.0,0.0,,,,40127
52012,,,,0.0,0.0,0.0,,,,188883
44249,,,,0.0,0.0,0.0,,,,80288
47992,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,21216
116307,,,,0.0,0.0,0.0,,,,99110
155726,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,95638
76393,,,,0.0,0.0,0.0,,,,164892
106373,,,,0.0,0.0,0.0,,,,112385
78191,1.0,2.0,4.0,0.0,-0.3333333333333333,0.3333333333333333,1.0,3.0,3.0,22788
26443,,,,0.0,0.0,0.0,,,,143323
125877,3.0,6.0,9.0,0.0,0.0,0.0,3.0,6.0,9.0,144734
46262,,,,0.0,0.0,0.0,,,,15011
18626,,,,0.0,0.0,0.0,,,,21710
54882,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,62744
142314,,,,0.0,0.0,0.0,,,,139204
81874,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,124821
89804,,,,0.0,0.0,0.0,,,,67908
48070,,,,0.0,0.0,0.0,,,,18262
112290,,,,0.0,0.0,0.0,,,,192434
155901,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,160192
104265,,,,0.0,0.0,0.0,,,,143983
158440,,,,0.0,0.0,0.0,,,,173370
157934,,,,0.0,0.0,0.0,,,,33758
26126,,,,0.0,0.0,0.0,,,,1977
153986,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,51820
16227,,,,0.0,0.0,0.0,,,,76398
86943,,,,0.0,0.0,0.0,,,,143306
