hex_id10_1m,hex_id11_1m,hex_id12_1m,hex_id6_1m,hex_id7_1m,hex_id8_1m,hex_id9_1m,client_id
126746,,,,,,,,112666
143236,,,,,,,,8878
155829,,,,,,,,150705
132263,,,,,,,,10580
4070,,,,,,,,104071
96479,,,,,,,,110211
31450,,,,,,,,153204
11146,,,,,,,,16307
54923,,,,,,,,113479
121195,,,,,,,,75509
34503,,,,,,,,68776
12301,,,,,,,,5579
35353,,,,,,,,143995
16786,,,,,,,,159168
148027,,,,,,,,34716
114201,,,,,,,,150714
63232,,,,,,,,14287
104646,,,,,,,,23537
28044,,,,,,,,69307
131960,,,,,,,,195549
116269,,,,,,,,126194
152205,,,,,,,,33197
50243,,,,,,,,112744
61084,,,,,,,,165606
135699,,,,,,,,58676
139533,,,,,,,,138125
77167,,,,,,,,20728
70715,,,,,,,,152584
159407,,,,,,,,199635
19692,,,,,,,,40127
52012,,,,,,,,188883
44249,,,,,,,,80288
47992,,,,,,,,21216
116307,,,,,,,,99110
155726,,,,,,,,95638
76393,,,,,,,,164892
106373,,,,,,,,112385
78191,,,,,,,,22788
26443,,,,,,,,143323
125877,,,,,,,,144734
46262,,,,,,,,15011
18626,,,,,,,,21710
54882,,,,,,,,62744
142314,,,,,,,,139204
81874,,,,,,,,124821
89804,,,,,,,,67908
48070,,,,,,,,18262
112290,,,,,,,,192434
155901,,,,,,,,160192
104265,,,,,,,,143983
158440,,,,,,,,173370
157934,,,,,,,,33758
26126,,,,,,,,1977
153986,,,,,,,,51820
16227,,,,,,,,76398
86943,,,,,,,,143306
38186,,,,,,,,122838
76084,,,,,,,,127565
81189,,,,,,,,79753
55451,,,,,,,,171378
95039,,,,,,,,19888
129239,,,,,,,,56490
84096,,,,,,,,12586
62849,,,,,,,,189087
149791,,,,,,,,159047
131915,,,,,,,,106584
40802,,,,,,,,140095
143360,,,,,,,,59806
62800,,,,,,,,135111
95195,,,,,,,,85412
122648,,,,,,,,13716
40082,,,,,,,,69127
157655,,,,,,,,143531
118920,,,,,,,,47390
112161,,,,,,,,40616
29890,,,,,,,,141744
149127,,,,,,,,123594
154590,,,,,,,,198739
139268,,,,,,,,171622
152109,,,,,,,,130395
13036,,,,,,,,74648
48704,,,,,,,,153657
99999,,,,,,,,150983
84685,,,,,,,,48099
150222,,,,,,,,167938
70085,,,,,,,,145175
74853,,,,,,,,145713
129799,,,,,,,,42279
140106,,,,,,,,52243
68482,,,,,,,,76653
18315,,,,,,,,116102
46380,,,,,,,,92541
120564,,,,,,,,80132
119210,,,,,,,,18871
132629,,,,,,,,120328
22520,,,,,,,,79074
133484,,,,,,,,188021
119803,,,,,,,,155145
102468,,,,,,,,145805
117013,,,,,,,,54041
54725,,,,,,,,27007
146848,,,,,,,,66004
127848,,,,,,,,73811
142362,,,,,,,,3943
149491,,,,,,,,190073
64794,,,,,,,,189239
18447,,,,,,,,186712
134084,,,,,,,,110839
8087,,,,,,,,105228
76047,,,,,,,,199621
147502,,,,,,,,15005
10870,,,,,,,,131943
110190,,,,,,,,66725
94832,,,,,,,,129797
36042,,,,,,,,89625
159292,,,,,,,,101535
61165,,,,,,,,88236
126096,,,,,,,,100555
140806,,,,,,,,156588
112107,,,,,,,,39522
143310,,,,,,,,134013
109312,,,,,,,,45957
30279,,,,,,,,150032
64685,,,,,,,,162330
10521,,,,,,,,74183
70558,,,,,,,,83546
28095,,,,,,,,83390
18495,,,,,,,,117598
58191,,,,,,,,133873
62187,,,,,,,,181796
104136,,,,,,,,44236
100819,,,,,,,,96394
49500,,,,,,,,68490
75026,,,,,,,,40347
122615,,,,,,,,157513
86431,,,,,,,,52759
121340,,,,,,,,56923
87254,,,,,,,,126960
32138,,,,,,,,59687
89138,,,,,,,,157039
100625,,,,,,,,163391
125050,,,,,,,,125714
104696,,,,,,,,7277
90621,,,,,,,,128115
77114,,,,,,,,200946
151144,,,,,,,,49071
120969,,,,,,,,109565
107653,,,,,,,,153111
138561,,,,,,,,156583
153483,,,,,,,,2470
135275,,,,,,,,201088
15118,,,,,,,,56068
30859,,,,,,,,26222
98099,,,,,,,,11525
42143,,,,,,,,10097
3451,,,,,,,,49334
80104,,,,,,,,85844
43967,,,,,,,,145295
128635,,,,,,,,134499
76444,,,,,,,,121376
47212,,,,,,,,139282
112820,,,,,,,,123509
103990,,,,,,,,140204
44591,,,,,,,,69069
115875,,,,,,,,45693
57709,,,,,,,,170532
97125,,,,,,,,68307
26764,,,,,,,,131562
151969,,,,,,,,76694
137610,,,,,,,,71081
40859,,,,,,,,8678
133097,,,,,,,,76439
54644,,,,,,,,200347
136937,,,,,,,,86411
95535,,,,,,,,52145
155041,,,,,,,,162168
731,,,,,,,,194340
24999,,,,,,,,9001
90909,,,,,,,,138129
117372,,,,,,,,189670
10314,,,,,,,,180019
33363,,,,,,,,78892
92719,,,,,,,,152781
131823,,,,,,,,32663
55644,,,,,,,,35196
92110,,,,,,,,84132
113215,,,,,,,,66942
90362,,,,,,,,32084
15004,,,,,,,,62670
77170,,,,,,,,191295
75407,,,,,,,,165147
128034,,,,,,,,53380
9814,,,,,,,,138631
106777,,,,,,,,110714
67006,,,,,,,,26977
26163,,,,,,,,10478
76477,,,,,,,,33710
97094,,,,,,,,156565
144300,,,,,,,,131803
56597,,,,,,,,173427
126661,,,,,,,,153636
50372,,,,,,,,45965
66382,,,,,,,,199283
96191,,,,,,,,172521
122391,,,,,,,,159803
43357,,,,,,,,96895
133169,,,,,,,,60932
25348,,,,,,,,70929
27157,,,,,,,,180924
10828,,,,,,,,134582
136865,,,,,,,,75848
97545,,,,,,,,18523
40049,,,,,,,,12930
85786,,,,,,,,109249
143123,,,,,,,,5131
52900,,,,,,,,16278
87260,,,,,,,,85435
18597,,,,,,,,10230
127663,,,,,,,,170173
27628,,,,,,,,110838
15882,,,,,,,,56548
137475,,,,,,,,34499
